project,file,verified_models,nonverified_models,min_success_tokens,max_nonverified_tokens,token_gap,outcomes
OS,OS__process_manager__process_tree__remove_proc_preserve_tree_inv_5.rs,3,1,42713,500500,457787,claude:VERIFIED:42713; claude-s4:VERIFIED:66198; gpt5:VERIFIED:68531; o4mini:FAILED:500500
MA,MA__bin_sizes__size_of_bin_bounds_not_huge.rs,3,1,17910,474434,456524,claude:VERIFIED:38428; claude-s4:VERIFIED:17910; gpt5:VERIFIED:73325; o4mini:FAILED:474434
NR,NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf.rs,1,3,395336,847342,452006,claude:VERIFIED:395336; claude-s4:FAILED:847342; gpt5:FAILED:167113; o4mini:FAILED:655869
OS,OS__process_manager__container_tree__no_child_imply_no_subtree.rs,3,1,77521,523203,445682,claude:VERIFIED:77521; claude-s4:VERIFIED:512892; gpt5:VERIFIED:99826; o4mini:FAILED:523203
IR,IR__verus_extra__lemma_seq_fold_left_sum_le.rs,1,3,52875,498376,445501,claude:FAILED:498376; claude-s4:FAILED:439468; gpt5:VERIFIED:52875; o4mini:FAILED:340268
NR,NR__impl_u__l1__impl2__lemma_interp_of_entry_contains_mapping_implies_interp_aux_contains_mapping.rs,3,1,34712,477612,442900,claude:VERIFIED:34712; claude-s4:VERIFIED:507729; gpt5:VERIFIED:49901; o4mini:FAILED:477612
OS,OS__process_manager__container_tree__in_subtree_impy_in_subsubtree.rs,3,1,7462,450252,442790,claude:VERIFIED:7462; claude-s4:VERIFIED:28884; gpt5:VERIFIED:34336; o4mini:FAILED:450252
NR,NR__spec_t__mmu__rl2__lemma_step_writenonneg_new_walk_has_pending_map.rs,1,3,388419,827750,439331,claude:VERIFIED:388419; claude-s4:FAILED:827750; gpt5:FAILED:125320; o4mini:FAILED:827700
NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_hl_implies_os.rs,2,2,78712,515764,437052,claude:VERIFIED:78712; claude-s4:VERIFIED:140709; gpt5:FAILED:253023; o4mini:FAILED:515764
VE,VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper.rs,1,3,94177,529894,435717,claude:FAILED:529894; claude-s4:FAILED:449936; gpt5:VERIFIED:94177; o4mini:FAILED:430850
NR,NR__impl_u__os_refinement__os_init_refines_hl_init.rs,3,1,73437,505952,432515,claude:VERIFIED:73437; claude-s4:VERIFIED:133332; gpt5:VERIFIED:95880; o4mini:FAILED:505952
AL,AL__push_filter_and_filter_push.rs,1,3,16036,447510,431474,claude:FAILED:436542; claude-s4:FAILED:447510; gpt5:VERIFIED:16036; o4mini:FAILED:345314
OS,OS__process_manager__process_tree__no_child_imply_no_subtree.rs,2,2,97082,523854,426772,claude:VERIFIED:155988; claude-s4:FAILED:523854; gpt5:VERIFIED:97082; o4mini:FAILED:452900
OS,OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs,2,2,602816,1029234,426418,claude:VERIFIED:602816; claude-s4:VERIFIED:1657234; gpt5:FAILED:595541; o4mini:FAILED:1029234
NR,NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged.rs,2,2,104127,529448,425321,claude:VERIFIED:104127; claude-s4:VERIFIED:360753; gpt5:FAILED:159732; o4mini:FAILED:529448
NR,NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal.rs,1,3,364152,785359,421207,claude:FAILED:749502; claude-s4:FAILED:785359; gpt5:VERIFIED:364152; o4mini:FAILED:503000
VE,VE__regular__leb128__impl2__lemma_spec_serialize_length.rs,1,3,96883,515537,418654,claude:FAILED:515537; claude-s4:FAILED:315109; gpt5:VERIFIED:96883; o4mini:FAILED:221113
IR,IR__net_sht_v__send_packet-poly.rs,3,1,93504,511933,418429,claude:VERIFIED:93504; claude-s4:VERIFIED:104619; gpt5:VERIFIED:117206; o4mini:FAILED:511933
IR,IR__verus_extra__lemma_to_set_distributes_over_addition.rs,3,1,29623,443415,413792,claude:VERIFIED:35854; claude-s4:FAILED:443415; gpt5:VERIFIED:29623; o4mini:VERIFIED:64234
MA,MA__pigeonhole__pigeonhole_too_many_elements_implies_double.rs,1,3,61062,471132,410070,claude:FAILED:471132; claude-s4:FAILED:429228; gpt5:VERIFIED:61062; o4mini:FAILED:354629
NR,NR__spec_t__mmu__rl2__lemma_bits_align_to_usize.rs,1,3,20337,425689,405352,claude:VERIFIED:20337; claude-s4:FAILED:411387; gpt5:FAILED:110035; o4mini:FAILED:425689
OS,OS__pagetable__pagetable_impl_base__impl0__get_entry_l3.rs,3,1,102522,506616,404094,claude:VERIFIED:609519; claude-s4:VERIFIED:255670; gpt5:VERIFIED:102522; o4mini:FAILED:506616
MA,MA__bin_sizes__idx_out_of_range_has_different_bin_size.rs,3,1,30757,434137,403380,claude:VERIFIED:48030; claude-s4:VERIFIED:387066; gpt5:VERIFIED:30757; o4mini:FAILED:434137
NR,NR__impl_u__os_refinement__interp_vmem_subrange.rs,2,2,54892,455280,400388,claude:VERIFIED:55138; claude-s4:VERIFIED:54892; gpt5:FAILED:92239; o4mini:FAILED:455280
ST,ST__subregion_write_relative.rs,1,3,133289,531943,398654,claude:VERIFIED:133289; claude-s4:FAILED:531943; gpt5:FAILED:161760; o4mini:FAILED:473896
